disease	dgnum	dgingraph	lccnum	lccratio	zscore	pvalue
DOID:2044	153	149	65	0.436241610738255	6.94862265483	9.999000099990002e-05
DOID:2297	36	33	14	0.42424242424242425	13.1324378666	9.999000099990002e-05
DOID:13378	76	71	10	0.14084507042253522	2.7893730649	0.032096790320967905
DOID:229	10	10	1	0.1	-0.293094568535	1.0
DOID:631	22	22	3	0.13636363636363635	2.42788610292	0.055194480551944806
DOID:3488	17	17	3	0.17647058823529413	3.32466540289	0.026297370262973702
DOID:1712	23	22	4	0.18181818181818182	3.95054907119	0.0124987501249875
DOID:1063	13	13	3	0.23076923076923078	4.56695617599	0.013398660133986601
DOID:10325	21	20	4	0.2	4.39351429213	0.009999000099990002
DOID:9854	34	33	9	0.2727272727272727	7.74852598294	0.00039996000399960006
DOID:10459	21	21	3	0.14285714285714285	2.5239321037	0.05019498050194981
DOID:11914	10	10	4	0.4	9.50939936239	0.00039996000399960006
DOID:0060041	48	45	4	0.08888888888888889	1.32244876887	0.11958804119588042
DOID:5408	18	16	3	0.1875	3.61249542331	0.022797720227977204
DOID:936	47	47	15	0.3191489361702128	9.3340826147	9.999000099990002e-05
DOID:1019	18	18	4	0.2222222222222222	4.93518377189	0.007699230076992301
DOID:9655	16	15	7	0.4666666666666667	12.7024482293	9.999000099990002e-05
DOID:9007	61	60	14	0.23333333333333334	6.06777584887	0.0023997600239976003
DOID:14018	49	49	8	0.16326530612244897	3.72176916515	0.016298370162983702
DOID:11885	11	11	4	0.36363636363636365	8.39980868316	0.0007999200079992001
DOID:811	28	25	3	0.12	2.0298339655	0.07329267073292671
DOID:3627	10	10	3	0.3	6.24190138542	0.005499450054994501
DOID:2773	13	13	2	0.15384615384615385	2.1013965064	0.1316868313168683
DOID:14261	17	15	4	0.26666666666666666	6.13210310474	0.0022997700229977
DOID:12842	17	17	2	0.11764705882352941	1.41930383323	0.22177782221777823
DOID:9538	271	269	220	0.8178438661710037	8.96229854394	9.999000099990002e-05
DOID:783	1046	997	827	0.8294884653961886	9.49273004236	9.999000099990002e-05
DOID:13099	12	11	2	0.18181818181818182	2.58337085941	0.10318968103189681
DOID:9893	31	31	5	0.16129032258064516	3.7679418166	0.013898610138986101
DOID:1407	20	20	5	0.25	6.04081446541	0.0025997400259974
DOID:10763	896	851	599	0.7038777908343126	6.32338320746	9.999000099990002e-05
DOID:3265	13	12	5	0.4166666666666667	10.5994924418	0.00019998000199980003
DOID:9246	85	80	14	0.175	3.58063859839	0.015798420157984203
DOID:8469	28	28	2	0.07142857142857142	0.474714339971	0.46805319468053197
DOID:8557	23	23	4	0.17391304347826086	3.66032480077	0.017798220177982202
DOID:11830	60	42	16	0.38095238095238093	11.5494026081	9.999000099990002e-05
DOID:2972	12	12	4	0.3333333333333333	7.86322157882	0.0011998800119988001
DOID:0050524	2625	2470	2217	0.8975708502024291	9.5477471772	9.999000099990002e-05
DOID:6204	29	29	13	0.4482758620689655	13.4802562801	9.999000099990002e-05
DOID:1882	22	21	4	0.19047619047619047	4.07425894873	0.013098690130986902
DOID:13515	18	18	11	0.6111111111111112	17.6173740814	9.999000099990002e-05
DOID:2913	28	28	5	0.17857142857142858	4.14140594634	0.010498950104989501
DOID:114	117	115	36	0.3130434782608696	5.88611288834	0.00019998000199980003
DOID:2598	92	89	47	0.5280898876404494	12.7275276076	9.999000099990002e-05
DOID:1339	13	12	11	0.9166666666666666	27.0171176194	9.999000099990002e-05
