rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
594	57.0	61.0	61.0	61.0	61.0
595	57.0	61.0	61.0	61.0	61.0
596	57.0	61.0	61.0	61.0	61.0
597	57.0	61.0	61.0	61.0	61.0
598	57.0	61.0	61.0	61.0	61.0
599	57.0	61.0	61.0	61.0	61.0
600	57.0	61.0	61.0	61.0	61.0
601	57.0	61.0	61.0	61.0	61.0
602	57.0	61.0	61.0	61.0	61.0
603	57.0	61.0	61.0	61.0	61.0
604	57.0	61.0	61.0	61.0	61.0
605	57.0	61.0	61.0	61.0	61.0
606	57.0	61.0	61.0	61.0	61.0
607	57.0	61.0	61.0	61.0	61.0
608	57.0	61.0	61.0	61.0	61.0
609	57.0	61.0	61.0	61.0	61.0
610	57.0	61.0	61.0	61.0	61.0
611	57.0	61.0	61.0	61.0	61.0
612	57.0	61.0	61.0	61.0	61.0
613	57.0	61.0	61.0	61.0	61.0
614	57.0	61.0	61.0	61.0	61.0
615	57.0	61.0	61.0	61.0	61.0
616	57.0	61.0	61.0	61.0	61.0
617	57.0	61.0	61.0	61.0	61.0
618	57.0	61.0	61.0	61.0	61.0
619	57.0	61.0	61.0	61.0	61.0
620	57.0	61.0	61.0	61.0	61.0
621	57.0	61.0	61.0	61.0	61.0
622	57.0	61.0	61.0	61.0	61.0
623	57.0	61.0	61.0	61.0	61.0
624	57.0	61.0	61.0	61.0	61.0
625	57.0	61.0	61.0	61.0	61.0
626	57.0	61.0	61.0	61.0	61.0
